X,Y,id,name,highway
-72.7363188,42.8532752,265942726,Ho Chi Minh Trail,footway
-72.736528,42.8532674,265942726,Ho Chi Minh Trail,footway
-72.73663,42.8532477,265942726,Ho Chi Minh Trail,footway
-72.7367533,42.8531297,265942726,Ho Chi Minh Trail,footway
-72.7368553,42.8529763,265942726,Ho Chi Minh Trail,footway
-72.7369894,42.8529291,265942726,Ho Chi Minh Trail,footway
-72.7371396,42.8529291,265942726,Ho Chi Minh Trail,footway
-72.7373166,42.8528859,265942726,Ho Chi Minh Trail,footway
-72.7374132,42.8527994,265942726,Ho Chi Minh Trail,footway
-72.7376599,42.8527443,265942726,Ho Chi Minh Trail,footway
-72.7378906,42.8525909,265942726,Ho Chi Minh Trail,footway
-72.7379872,42.852473,265942726,Ho Chi Minh Trail,footway
-72.7380247,42.8523825,265942726,Ho Chi Minh Trail,footway
-72.7380086,42.8523078,265942726,Ho Chi Minh Trail,footway
-72.7379389,42.8521662,265942726,Ho Chi Minh Trail,footway
-72.7378691,42.8520325,265942726,Ho Chi Minh Trail,footway
-72.737853,42.8519342,265942726,Ho Chi Minh Trail,footway
-72.7379013,42.8518201,265942726,Ho Chi Minh Trail,footway
-72.7379979,42.8517139,265942726,Ho Chi Minh Trail,footway
-72.7381535,42.8515842,265942726,Ho Chi Minh Trail,footway
-72.7383466,42.8514229,265942726,Ho Chi Minh Trail,footway
-72.7384217,42.8513285,265942726,Ho Chi Minh Trail,footway
-72.7384968,42.8511555,265942726,Ho Chi Minh Trail,footway
-72.7386094,42.8510257,265942726,Ho Chi Minh Trail,footway
-72.7387221,42.8509824,265942726,Ho Chi Minh Trail,footway
-72.7388562,42.8509313,265942726,Ho Chi Minh Trail,footway
-72.7388991,42.8508527,265942726,Ho Chi Minh Trail,footway
-72.739103,42.8507308,265942726,Ho Chi Minh Trail,footway
-72.7392371,42.8506285,265942726,Ho Chi Minh Trail,footway
-72.7393819,42.8505302,265942726,Ho Chi Minh Trail,footway
-72.7395214,42.8504594,265942726,Ho Chi Minh Trail,footway
-72.7395643,42.8503493,265942726,Ho Chi Minh Trail,footway
-72.7396233,42.8503257,265942726,Ho Chi Minh Trail,footway
-72.7396233,42.8502785,265942726,Ho Chi Minh Trail,footway
-72.7395375,42.8501998,265942726,Ho Chi Minh Trail,footway
-72.7393873,42.8499717,265942726,Ho Chi Minh Trail,footway
-72.7391995,42.8497397,265942726,Ho Chi Minh Trail,footway
-72.7391351,42.8496374,265942726,Ho Chi Minh Trail,footway
-72.7391512,42.8495234,265942726,Ho Chi Minh Trail,footway
-72.7390922,42.8492284,265942726,Ho Chi Minh Trail,footway
-72.7389581,42.848957,265942726,Ho Chi Minh Trail,footway
-72.7389152,42.8487132,265942726,Ho Chi Minh Trail,footway
-72.7389742,42.848489,265942726,Ho Chi Minh Trail,footway
-72.7390225,42.8482648,265942726,Ho Chi Minh Trail,footway
-72.7391298,42.8481468,265942726,Ho Chi Minh Trail,footway
-72.7393336,42.8480249,265942726,Ho Chi Minh Trail,footway
-72.7395482,42.8479384,265942726,Ho Chi Minh Trail,footway
-72.739854,42.8478204,265942726,Ho Chi Minh Trail,footway
-72.7399237,42.8477771,265942726,Ho Chi Minh Trail,footway
-72.7399398,42.8476631,265942726,Ho Chi Minh Trail,footway
-72.7399613,42.8475018,265942726,Ho Chi Minh Trail,footway
-72.7400417,42.8473052,265942726,Ho Chi Minh Trail,footway
-72.7401705,42.8470299,265942726,Ho Chi Minh Trail,footway
-72.7403046,42.8468293,265942726,Ho Chi Minh Trail,footway
-72.740377,42.8467054,265942726,Ho Chi Minh Trail,footway
-72.7404655,42.8464261,265942726,Ho Chi Minh Trail,footway
-72.7405433,42.8462551,265942726,Ho Chi Minh Trail,footway
-72.7406586,42.8461174,265942726,Ho Chi Minh Trail,footway
-72.740672,42.8460938,265942726,Ho Chi Minh Trail,footway
-72.7407713,42.8460073,265942726,Ho Chi Minh Trail,footway
